Alkon hinnasto 20.4.2016Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.

Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi-%	Hapot g/l	Sokeri g/l	Kantavierrep-%	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
407397	Durius Tempranillo 2012	Haciendas Durius, Vino de la Tierra Castilla y León	0,75	9,97	13,16		110	punaviinit			Espanja	Kastilia-León	2012	Haciendas Durius, Vino de la Tierra Castilla y León		Tempranillo	Täyteläinen , keskitanniininen, tumman kirsikkainen, kevyen nahkainen, mausteinen, tamminen	pullo	luonnonkorkki	14,0	5,8					90	vakiovalikoima
467507	Leo Martin Mencia 2012	Adegas Galegas, DO Bierzo	0,75	9,99	13,19		110	punaviinit			Espanja	Kastilia-León	2012	Adegas Galegas, DO Bierzo		Mencia	Täyteläinen , tanniininen, tumman marjainen, kevyen luumuinen, mausteinen	pullo	luonnonkorkki	13,5	4,5					90	vakiovalikoima
484107	Matsu El Picaro 2014	Matsu Bodegas y Viñedos Ecológicos, DO Toro	0,75	9,99	13,19		110	punaviinit			Espanja	Kastilia-León	2014	Matsu Bodegas y Viñedos Ecológicos, DO Toro		Tempranillo	Täyteläinen , tanniininen, karhunvatukkainen, tumman kirsikkainen, kevyen luumuinen, mausteinen, lämmin	pullo	metallinen kierrekapseli	14,5	4,7					90	vakiovalikoima
484577	Numanthia Termes 2012	Bodega Numanthia, DO Toro	0,75	24,90	33,07		110	punaviinit			Espanja	Kastilia-León	2012	Bodega Numanthia, DO Toro		Tinta de Toro	Erittäin täyteläinen , erittäin tanniininen, luumuinen, tumman kirsikkainen, kypsän karpaloinen, mausteinen, lämmin, runsas, pitkä	pullo	luonnonkorkki	15,0	5,1					100	vakiovalikoima
487397	Pingus 2012	Dominio de Pingus, DO Ribera del Duero	0,75	772,80	1030,40		110	punaviinit			Espanja	Kastilia-León	2012	Dominio de Pingus, DO Ribera del Duero			Täyteläinen , erittäin tanniininen, karhunvatukkainen, mustaherukkainen, tummasuklainen, mausteinen, tamminen, moniulotteinen, runsas, pitkä	pullo	luonnonkorkki	14,5	4,9					90	erikoisvalikoima
494137	Pintia 2010 2010	Bodegas Pintia, DO Toro	0,75	47,50	63,33		110	punaviinit			Espanja	Kastilia-León	2010	Bodegas Pintia, DO Toro			Täyteläinen , tanniininen, tumman kirsikkainen, luumuhilloinen, karhunvatukkainen, mausteinen, tamminen, lämmin, pitkä	pullo	luonnonkorkki	15,0	4,4					100	erikoisvalikoima
005193	Prado Rey 2014	Real Sitio de Ventosilla, DO Ribera del Duero	0,75	11,90	15,73		110	punaviinit			Espanja	Kastilia-León	2014	Real Sitio de Ventosilla, DO Ribera del Duero		Tinta Fina	Keskitäyteläinen , tanniininen, kirsikkainen, karpaloinen, mausteinen, kevyen vaniljainen	pullo	luonnonkorkki	13,0	5,0					80	vakiovalikoima
465427	T Toro 2014	Boutinot, DO Toro	0,75	8,99	11,85		110	punaviinit			Espanja	Kastilia-León	2014	Boutinot, DO Toro		Tinta de Toro	Täyteläinen , tanniininen, luumuinen, karhunvatukkainen, mausteinen, lämmin	pullo	metallinen kierrekapseli	14,5	4,7					90	vakiovalikoima
450267	Tiempo Briego 2012	Alberto y Benito, DO Ribera del Duero	0,75	16,69	22,12		110	punaviinit			Espanja	Kastilia-León	2012	Alberto y Benito, DO Ribera del Duero		Tempranillo	Täyteläinen , tanniininen, kirsikkainen, luumuinen, mausteinen, tamminen, kevyen vaniljainen	pullo	luonnonkorkki	13,5	4,7					90	vakiovalikoima
429947	Val de los Frailes Vendimia Seleccionada 2010	Matarromera, DO Cigales	0,75	13,98	18,51		110	punaviinit			Espanja	Kastilia-León	2010	Matarromera, DO Cigales		Tinta del País	Täyteläinen , tanniininen, herukkainen, viikunainen, mausteinen, hennon nahkainen, tamminen	pullo	luonnonkorkki	14,5	5,1					90	vakiovalikoima
419107	Valpincia Reserva 2010	Bodegas Valpincia, DO Ribera del Duero	0,75	21,60	28,67		110	punaviinit			Espanja	Kastilia-León	2010	Bodegas Valpincia, DO Ribera del Duero		Tempranillo	Erittäin täyteläinen , tanniininen, tumman kirsikkainen, luumuinen, mausteinen, hennon kahvinen, tamminen, roteva	pullo	luonnonkorkki	14,0	5,3					90	vakiovalikoima
466257	Vega Sicilia Unico 2004 2004	Bodegas Vega Sicilia, DO Ribera del Duero	0,75	325,00	433,33		110	punaviinit			Espanja	Kastilia-León	2004	Bodegas Vega Sicilia, DO Ribera del Duero			Täyteläinen , tanniininen, kirsikkainen, luumuinen, viikunainen, kevyen nahkainen, mausteinen, tamminen, rodukas, pitkä	pullo	luonnonkorkki	14,0	5,1					90	erikoisvalikoima
401107	Vega-Sicilia 'Único' 2003	Bodegas Vega Sicilia, DO Ribera del Duero	0,75	255,70	340,93		110	punaviinit			Espanja	Kastilia-León	2003	Bodegas Vega Sicilia, DO Ribera del Duero		Tinto Fino, Cabernet Sauvignon	Täyteläinen , tanniininen, karhunvatukkainen, hapankirsikkainen, kevyen viikunainen, mausteinen, hennon tallinen, tamminen, tyylikäs, pitkä	pullo	luonnonkorkki	14,0	5,8					90	vakiovalikoima
447667	Viña Pedrosa Crianza 2013	Bodegas Hnos Pérez Pascuas, DO Ribera del Duero	0,75	24,40	32,40		110	punaviinit			Espanja	Kastilia-León	2013	Bodegas Hnos Pérez Pascuas, DO Ribera del Duero		Tempranillo	Täyteläinen , tanniininen, kirsikkainen, luumuinen, vaniljainen, mausteinen, tamminen	pullo	luonnonkorkki	13,5	5,4					90	vakiovalikoima
454307	Vinea Museum Tempranillo Crianza 2012	Finca Museum, DO Cigales	0,75	12,58	16,64		110	punaviinit			Espanja	Kastilia-León	2012	Finca Museum, DO Cigales		Tinta del País	Täyteläinen , tanniininen, tumman kirsikkainen, taatelinen, mausteinen, kevyen vaniljainen, tamminen, runsas	pullo	luonnonkorkki	14,5	5,3					90	vakiovalikoima
479057	Ad Fines 2013	Can Ràfols dels Caus, DO Penedès	0,75	25,10	33,33		110	punaviinit			Espanja	Katalonia	2013	Can Ràfols dels Caus, DO Penedès		Pinot Noir	Keskitäyteläinen , tanniininen, hapankirsikkainen, puolukkainen, yrttinen, hennon tallinen, puinen	pullo	luonnonkorkki	12,5	4,7					90	vakiovalikoima
448687	Clos Mogador 2010	Clos Mogador, DOQ Priorat	0,75	83,20	110,93		110	punaviinit			Espanja	Katalonia	2010	Clos Mogador, DOQ Priorat			Täyteläinen , tanniininen, punaherukkainen, kypsän karpaloinen, kevyen vadelmainen, mausteinen, tamminen, roteva, lämmin	pullo	luonnonkorkki	15,0	5,2					100	erikoisvalikoima
430407	Coma Vella 2008	Mas d'en Gil, DOCa Priorat	0,75	31,90	42,40		110	punaviinit			Espanja	Katalonia	2008	Mas d'en Gil, DOCa Priorat		Garnacha Peluda, Garnacha País, Cabernet Sauvignon, Cariñena, Syrah, Merlot	Täyteläinen , tanniininen, boysenmarjainen, tumman luumuinen, kevyen viikunainen, suklainen, mausteinen, tamminen, lämmin	pullo	luonnonkorkki	15,0	5,0					100	vakiovalikoima
438727	Cor del País Crianza 2010	Celler Els Guiamets, DO Montsant	0,75	11,99	15,85		110	punaviinit			Espanja	Katalonia	2010	Celler Els Guiamets, DO Montsant		Syrah, Garnacha, Carignan, Merlot, Cabernet Sauvignon	Täyteläinen , tanniininen, tumman kirsikkainen, luumuinen, mausteinen, hennon suklainen, tamminen	pullo	luonnonkorkki	14,5	4,9					90	vakiovalikoima
401157	Freixenet Mia Tinto 2013	Freixenet, DO Catalunya	0,75	8,46	11,15		110	punaviinit			Espanja	Katalonia	2013	Freixenet, DO Catalunya		Garnatxa, Carenyena, Sumoll	Keskitäyteläinen , keskitanniininen, kirsikkainen, karhunvatukkainen, mausteinen	pullo	metallinen kierrekapseli	14,0	5,3	4				90	vakiovalikoima
492627	Iugiter Selecció de Vinyes Velles 2009	La Conrería d'Scala Dei, DOCa Priorat	0,75	34,90	46,40		110	punaviinit			Espanja	Katalonia	2009	La Conrería d'Scala Dei, DOCa Priorat		Cariñena, Garnacha, Cabernet Sauvignon	Täyteläinen , tanniininen, tumman kirsikkainen, boysenmarjainen, kevyen luumuinen, mausteinen, tamminen, lämmin, pitkä	pullo	luonnonkorkki	15,0	5,4					90	vakiovalikoima
450857	Nona Petit 2012	La Conreria d'Scala Dei, DOCa Priorat	0,75	15,31	20,28		110	punaviinit			Espanja	Katalonia	2012	La Conreria d'Scala Dei, DOCa Priorat		Garnacha Negra, Samsó, Merlot, Cabernet Sauvignon	Täyteläinen , tanniininen, tumman marjainen, kirsikkainen, viikunainen, kevyen nahkainen, hennon suklainen, mausteinen	pullo	luonnonkorkki	14,5	6,5					90	vakiovalikoima
439957	Perelada 5 Finques Reserva 2012	Castillo Perelada, DO Empordà	0,75	14,95	19,80		110	punaviinit			Espanja	Katalonia	2012	Castillo Perelada, DO Empordà		Cabernet Sauvignon, Samsó, Garnatxa, Syrah, Merlot, Monasterll	Täyteläinen , tanniininen, tumman luumuinen, viikunainen, kirsikkainen, vaniljainen, kevyen nahkainen, mausteinen	pullo	luonnonkorkki	14,5	5,5					100	vakiovalikoima
415098	Raimat Abadía Cabernet Sauvignon Tempranillo 2013 hanapakkaus	Raimat, DO Costers del Segre	3,00	32,90	10,97		110	punaviinit			Espanja	Katalonia	2013	Raimat, DO Costers del Segre		Cabernet Sauvignon, Tempranillo	Täyteläinen , keskitanniininen, kirsikkainen, luumuinen, mausteinen	hanapakkaus	kartonkipakkaus	13,5	5,8	6				90	vakiovalikoima
006864	Raimat Abadia Cabernet Sauvignon Tempranillo Crianza 2013	Raimat, DO Costers del Segre	0,75	9,28	12,24		110	punaviinit			Espanja	Katalonia	2013	Raimat, DO Costers del Segre		Cabernet Sauvignon, Tempranillo	Keskitäyteläinen , keskitanniininen, karpaloinen, makean kirsikkainen, mausteinen, hennon tamminen	pullo	metallinen kierrekapseli	13,5	5,7					90	vakiovalikoima
468017	Raimat Castell de Raimat Merlot 2014	Raimat, DO Costers del Segre	0,75	13,18	17,44		110	punaviinit			Espanja	Katalonia	2014	Raimat, DO Costers del Segre		Merlot, Cabernet Sauvignon	Täyteläinen , tanniininen, kirsikkainen, kypsän karpaloinen, kevyen kukkainen	pullo	luonnonkorkki	13,0	5,0					90	vakiovalikoima
007115	Raimat Castell de Raimat Tempranillo 2013	Raimat, DO Costers del Segre	0,75	11,99	15,85		110	punaviinit			Espanja	Katalonia	2013	Raimat, DO Costers del Segre		Tempranillo	Keskitäyteläinen , keskitanniininen, karpaloinen, punaherukkainen, mausteinen, hennon vaniljainen	pullo	metallinen kierrekapseli	14,0	5,7	4				90	vakiovalikoima
471587	Savia Viva Familia Tempranillo 2013	Cavas Parés Baltà, DO Penedès	0,75	8,59	11,32		110	punaviinit	luomu		Espanja	Katalonia	2013	Cavas Parés Baltà, DO Penedès		Tempranillo	Keskitäyteläinen , tanniininen, kirsikkainen, karpaloinen, mausteinen, hennon tallinen	pullo	metallinen kierrekapseli	14,0	5,8					90	vakiovalikoima
477357	Savia Viva Organic A Tinto 2014	Parés Baltà, DO Penedès	0,75	8,59	11,32		110	punaviinit	luomu		Espanja	Katalonia	2014	Parés Baltà, DO Penedès		Syrah, Merlot, Tempranillo	Keskitäyteläinen , keskitanniininen, hapankirsikkainen, kypsän karpaloinen, mausteinen	pullo	metallinen kierrekapseli	13,5	5,8	4				90	vakiovalikoima
461307	Torres Coronas Tempranillo 2013	Miguel Torres, DO Catalunya	0,75	9,99	13,19		110	punaviinit			Espanja	Katalonia	2013	Miguel Torres, DO Catalunya		Tempranillo, Cabernet Sauvignon	Täyteläinen , tanniininen, luumuinen, tumman kirsikkainen, mausteinen	pullo	metallinen kierrekapseli	13,5	4,7					90	vakiovalikoima
006454	Torres Gran Coronas Cabernet Sauvignon Reserva 2011	Miguel Torres, DO Penedès	0,75	14,44	19,12		110	punaviinit			Espanja	Katalonia	2011	Miguel Torres, DO Penedès		Cabernet Sauvignon, Tempranillo	Täyteläinen , tanniininen, kypsän luumuinen, hennon herukkainen, mausteinen, tamminen	pullo	luonnonkorkki	14,0	4,9					90	vakiovalikoima
459938	Torres Gran Sangre de Toro Barrel Aged 2013 hanapakkaus	Miguel Torres, DO Catalunya	3,00	39,90	13,30		110	punaviinit			Espanja	Katalonia	2013	Miguel Torres, DO Catalunya		Garnacha, Cariñena, Syrah	Keskitäyteläinen , tanniininen, kirsikkainen, karhunvatukkainen, hennon kahvinen, mausteinen	hanapakkaus	kartonkipakkaus	14,0	4,9					90	vakiovalikoima
463397	Torres Gran Sangre de Toro Reserva 2012	Miguel Torres, DO Catalunya	0,75	13,90	18,40		110	punaviinit			Espanja	Katalonia	2012	Miguel Torres, DO Catalunya		Garnacha, Cariñena, Syrah	Täyteläinen , tanniininen, tumman kirsikkainen, mustikkahilloinen, mausteinen, kevyen tamminen	pullo	luonnonkorkki	14,0	5,3					90	vakiovalikoima
449237	Torres Mas La Plana 2010	Miguel Torres, DO Penedès	0,75	49,90	66,40		110	punaviinit			Espanja	Katalonia	2010	Miguel Torres, DO Penedès		Cabernet Sauvignon	Erittäin täyteläinen , tanniininen, tumman luumuinen, kirsikkainen, herukkainen, mausteinen, tamminen, nahkainen, roteva	pullo	luonnonkorkki	14,5	5,6					90	vakiovalikoima
006981	Torres Sangre de Toro 2014	Miguel Torres, DO Catalunya	0,75	9,99	13,19		110	punaviinit			Espanja	Katalonia	2014	Miguel Torres, DO Catalunya		Garnacha, Cariñena	Keskitäyteläinen , keskitanniininen, kirsikkainen, kypsän karpaloinen, mausteinen, hennon yrttinen	pullo	metallinen kierrekapseli	13,5	5,4					90	vakiovalikoima
006982	Torres Sangre de Toro 2014	Miguel Torres, DO Catalunya	0,38	5,95	15,60		110	punaviinit			Espanja	Katalonia	2014	Miguel Torres, DO Catalunya		Garnacha, Cariñena	Keskitäyteläinen , keskitanniininen, kirsikkainen, kypsän karpaloinen, mausteinen, hennon yrttinen	pullo	metallinen kierrekapseli	13,5	5,4					90	vakiovalikoima
439137	¿Que Pasa? Organico Tempranillo	Wineworld, Vino de la Tierra de Castilla	0,75	7,49	9,85		110	punaviinit	luomu		Espanja	La Mancha		Wineworld, Vino de la Tierra de Castilla		Tempranillo	Keskitäyteläinen , keskitanniininen, kirsikkainen, herukkainen, boysenmarjainen, kevyen mausteinen	pullo	metallinen kierrekapseli	13,0	5,2	5				90	vakiovalikoima
444447	Cavalls Garnacha Tintorera & Monastrell Very Old Vines 2012	Casa Rojo, DO Almansa	0,75	12,89	17,05		110	punaviinit	luomu		Espanja	La Mancha	2012	Casa Rojo, DO Almansa		Garnacha Tintorera, Monastrell	Keskitäyteläinen , tanniininen, kirsikkainen, karhunvatukkainen, karpaloinen, mausteinen	pullo	luonnonkorkki	14,5	6,2					90	vakiovalikoima
470837	Dominio de Punctum Tempranillo 2014	Dominio de Punctum, Vino de la Tierra de Castilla	0,75	10,98	14,51		110	punaviinit	luomu, biodynaaminen		Espanja	La Mancha	2014	Dominio de Punctum, Vino de la Tierra de Castilla		Tempranillo	Keskitäyteläinen , keskitanniininen, kypsän kirsikkainen, kevyen mansikkainen, mausteinen	pullo	metallinen kierrekapseli	13,5	4,7					90	vakiovalikoima
006856	Don Hugo Tempranillo 2013	Bodegas Victorianas, Vino de la Tierra de Castilla	0,75	6,48	8,51		110	punaviinit			Espanja	La Mancha	2013	Bodegas Victorianas, Vino de la Tierra de Castilla		Tempranillo	Kevyt , keskitanniininen, kypsän karpaloinen, puolukkainen, kevyen mausteinen, hennon nahkainen	pullo	metallinen kierrekapseli	13,0	5,4					80	vakiovalikoima
475797	Finca Constancia 2013	Finca Constancia, Vino de la Tierra de Castilla	0,75	11,99	15,85		110	punaviinit			Espanja	La Mancha	2013	Finca Constancia, Vino de la Tierra de Castilla		Syrah, Cabernet Sauvignon, Petit Verdot, Tempranillo, Graciano, Cabernet Franc	Täyteläinen , tanniininen, karhunvatukkainen, tumman kirsikkainen, mustaherukkainen, mausteinen, tamminen, lämmin, runsas	pullo	metallinen kierrekapseli	14,0	5,9					90	vakiovalikoima
486818	Lobetia Tempranillo Syrah 2014 kartonkitölkki	Dominio de Punctum, Vino de la Tierra de Castilla	1,00	8,98	8,98		110	punaviinit	luomu		Espanja	La Mancha	2014	Dominio de Punctum, Vino de la Tierra de Castilla		Tempranillo, Shiraz	Keskitäyteläinen , keskitanniininen, puolukkainen, mansikkahilloinen, mausteinen, yrttinen	kartonkitölkki	muovisuljin	13,5	4,8					90	vakiovalikoima
458718	Morada Real Barrel Aged Tempranillo 2014 hanapakkaus	Félix Solís, Vino de la Tierra de Castilla	3,00	24,90	8,30		110	punaviinit			Espanja	La Mancha	2014	Félix Solís, Vino de la Tierra de Castilla		Tempranillo	Keskitäyteläinen , keskitanniininen, punaherukkainen, kypsän karpaloinen, mausteinen	hanapakkaus	kartonkipakkaus	13,5	5,0					90	vakiovalikoima
454058	Osborne Solaz 2013 hanapakkaus	Osborne, Vino de la Tierra de Castilla	3,00	32,50	10,83		110	punaviinit			Espanja	La Mancha	2013	Osborne, Vino de la Tierra de Castilla		Tempranillo, Cabernet Sauvignon	Keskitäyteläinen , keskitanniininen, kirsikkahilloinen, boysenmarjainen, mausteinen	hanapakkaus	kartonkipakkaus	13,5	5,1					90	vakiovalikoima
442567	Pago del Vicario 50/50 2011	Pago del Vicario, Vino de la Tierra de Castilla	0,75	15,49	20,52		110	punaviinit			Espanja	La Mancha	2011	Pago del Vicario, Vino de la Tierra de Castilla		Tempranillo, Cabernet Sauvignon	Täyteläinen , tanniininen, kirsikkainen, karhunvatukkahilloinen, mausteinen, tamminen, tallinen	pullo	luonnonkorkki	14,5	5,0					90	vakiovalikoima
468438	Piqueras Syrah-Monastrell 2014 hanapakkaus	Bodegas Piqueras, DO Almansa	3,00	27,90	9,30		110	punaviinit			Espanja	La Mancha	2014	Bodegas Piqueras, DO Almansa		Syrah, Monastrell	Keskitäyteläinen , keskitanniininen, makean kirsikkainen, karpalohilloinen, mausteinen, kevyen lakritsinen	hanapakkaus	kartonkipakkaus	14,0	4,7	8				90	vakiovalikoima
459007	Betola Organic Monastrell 2014	Pio Del Ramo Nuñez, DO Jumilla	0,75	7,98	10,51		110	punaviinit	luomu		Espanja	Murcia	2014	Pio Del Ramo Nuñez, DO Jumilla		Monastrell	Täyteläinen , tanniininen, kypsän karpaloinen, karhunvatukkainen, mausteinen	pullo	metallinen kierrekapseli	14,5	4,9					100	vakiovalikoima
455467	Casa de la Ermita Crianza Organic 2011	Casa de la Ermita, DO Jumilla	0,75	14,99	19,85		110	punaviinit	luomu		Espanja	Murcia	2011	Casa de la Ermita, DO Jumilla		Monastrell	Keskitäyteläinen , tanniininen, punaherukkainen, kirsikkainen, yrttinen, mausteinen	pullo	luonnonkorkki	14,0	5,9					90	vakiovalikoima
433916	El Tesoro Monastrell 2014	Boutinot, DO Jumilla	0,50	7,98	15,76		110	punaviinit	luomu		Espanja	Murcia	2014	Boutinot, DO Jumilla		Monastrell	Täyteläinen , keskitanniininen, kirsikkahilloinen, makean herukkainen, mausteinen, hennon vaniljainen	pullo	metallinen kierrekapseli	14,0	5,3	8				90	vakiovalikoima
458027	El Tesoro Monastrell Shiraz 2014	Boutinot, DO Jumilla	0,75	8,29	10,92		110	punaviinit	luomu		Espanja	Murcia	2014	Boutinot, DO Jumilla		Monastrell, Syrah	Täyteläinen , tanniininen, kirsikkahilloinen, kypsän karpaloinen, mausteinen	pullo	metallinen kierrekapseli	14,0	5,3	8				90	vakiovalikoima
458017	Abadia da Cova 2014	Adegas Moure, DO Ribeira Sacra	0,75	24,90	33,20		110	punaviinit			Espanja	Muut	2014	Adegas Moure, DO Ribeira Sacra		Mencia	Keskitäyteläinen , keskitanniininen, karhunvatukkainen, kuningatarhilloinen, kirsikkainen, mausteinen, kevyen tamminen, lämmin	pullo	luonnonkorkki	13,5	5,1					90	vakiovalikoima
463097	Arínzano La Casona 2008	Propiedad De Arinzano, DO Pago De Arínzano	0,75	29,90	39,87		110	punaviinit			Espanja	Muut	2008	Propiedad De Arinzano, DO Pago De Arínzano	Pullossa sakkaa	Tempranillo, Merlot	Täyteläinen , tanniininen, tumman kirsikkainen, mustaherukkainen, hennon taatelinen, kevyen suklainen, mausteinen, aromikas	pullo	luonnonkorkki	14,0	5,2					90	vakiovalikoima
454138	Cerro Tinto Tempranillo Shiraz  kartonkitölkki	Sundance Wines, Vino de España	1,00	8,69	8,69		110	punaviinit			Espanja	Muut		Sundance Wines, Vino de España		Tempranillo, Shiraz	Keskitäyteläinen , keskitanniininen, kirsikkainen, kypsän karpaloinen, kevyen toffeinen	kartonkitölkki	muovisuljin	13,5	5,1	7				90	vakiovalikoima
484047	Chill Out Soft & Vibrant Merlot 2014 muovipullo	Altia, Vino de España	0,75	7,28	9,44		110	punaviinit			Espanja	Muut	2014	Altia, Vino de España		Merlot	Keskitäyteläinen , keskitanniininen, kirsikkahilloinen, boysenmarjainen, mokkainen, vaniljainen	muovipullo	muovisuljin	14,5	5,3	5				90	vakiovalikoima
004801	El Tiempo Tinto	Altia, Vino Tinto de España	0,75	6,99	9,19		110	punaviinit			Espanja	Muut		Altia, Vino Tinto de España		Tempranillo, Bobal, Merlot	Kevyt , keskitanniininen, kirsikkainen, makean marjainen, mausteinen	pullo	metallinen kierrekapseli	12,5	4,4	6				80	vakiovalikoima
482408	Evergreen Touch of Nature Monastrell Organic 2014 muovipullo	Badet Clement, Wine of Spain	1,00	9,98	9,58		110	punaviinit	luomu		Espanja	Muut	2014	Badet Clement, Wine of Spain		Monastrell	Keskitäyteläinen , tanniininen, makean puolukkainen, kirsikkainen, hennon mausteinen	muovipullo	muovisuljin	14,0	5,2	7				90	vakiovalikoima
004246	Hannibal	Altia	0,75	6,99	9,19		110	punaviinit			Espanja	Muut		Altia			Keskitäyteläinen , vähätanniininen, makea, kypsän marjainen, mausteinen	pullo	metallinen kierrekapseli	11,5	5,2	40				90	vakiovalikoima
006036	Huttunen Punaviini  kartonkitölkki	Pernod Ricard Finland	1,00	8,79	8,79		110	punaviinit			Espanja	Muut		Pernod Ricard Finland			Kevyt , keskitanniininen, punaherukkainen, kevyen vadelmainen, hennon mausteinen	kartonkitölkki	muovisuljin	12,0	5,1	12				80	vakiovalikoima
488477	Laudum Nature Barrica Monastrell Petit Verdot 2013	Bocopa, DO Alicante	0,75	7,98	10,51		110	punaviinit	luomu		Espanja	Muut	2013	Bocopa, DO Alicante		Monastrell, Petit Verdot	Täyteläinen , keskitanniininen, tummakirsikkainen, karhunvatukkainen, mausteinen, kevyen tamminen	pullo	metallinen kierrekapseli	13,0	5,6					90	vakiovalikoima
457708	Los Llanos Red Wine  hanapakkaus	Grupo de Bodegas Vinartis,	3,00	26,90	8,97		110	punaviinit			Espanja	Muut		Grupo de Bodegas Vinartis,		Tempranillo	Keskitäyteläinen , tanniininen, kirsikkainen, luumuinen, yrttinen, kevyen vaniljainen	hanapakkaus	kartonkipakkaus	13,0	5,0					90	vakiovalikoima
477547	Marques de Griñon Petit Verdot 2011	Marques de Griñon, DO Pago Dominio de Valdepusa	0,75	29,90	39,87		110	punaviinit			Espanja	Muut	2011	Marques de Griñon, DO Pago Dominio de Valdepusa		Petit Verdot	Erittäin täyteläinen , erittäin tanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, mausteinen, tamminen, runsas, lämmin	pullo	luonnonkorkki	15,0	5,3					100	vakiovalikoima
422947	Ochoa Mil Gracias Graciano 2010	Bodegas Ochoa, DO Navarra	0,75	14,93	19,77		110	punaviinit			Espanja	Navarra	2010	Bodegas Ochoa, DO Navarra		Graciano	Täyteläinen , tanniininen, hapankirsikkainen, tumman luumuinen, karhunvatukkainen, mausteinen, roteva	pullo	luonnonkorkki	13,5	6,3					90	vakiovalikoima
457487	Piedemonte Reserva 2011	Bodegas Piedemonte, DO Navarra	0,75	8,99	11,85		110	punaviinit			Espanja	Navarra	2011	Bodegas Piedemonte, DO Navarra		Tempranillo, Cabernet Sauvignon, Merlot	Täyteläinen , tanniininen, kypsän karpaloinen, tumman kirsikkainen, luumuinen, hennon lakritsinen, lämmin	pullo	luonnonkorkki	14,5	5,6					90	vakiovalikoima
470127	Torre del Homenaje 2013	Bodegas Marco Real, DO Navarra	0,75	9,75	12,87		110	punaviinit			Espanja	Navarra	2013	Bodegas Marco Real, DO Navarra		Tempranillo, Cabernet Sauvignon	Täyteläinen , tanniininen, herukkainen, luumuinen, tumman kirsikkainen, yrttinen, tamminen	pullo	luonnonkorkki	14,5	5,6					90	vakiovalikoima
007152	Baron de Ley Reserva 2011	Baron de Ley, DOCa Rioja	0,75	16,60	22,00		110	punaviinit			Espanja	Rioja	2011	Baron de Ley, DOCa Rioja		Tempranillo	Täyteläinen , tanniininen, tumman marjainen, luumuinen, kevyen vaniljainen, hennon nahkainen, tamminen	pullo	luonnonkorkki	13,5	5,1					90	vakiovalikoima
495027	Bodegas Bilbainas La Vicalanda Gran Reserva 2009	Bodegas Bilbainas, DOCa Rioja	0,75	39,90	53,20		110	punaviinit			Espanja	Rioja	2009	Bodegas Bilbainas, DOCa Rioja		Tempranillo	Erittäin täyteläinen , tanniininen, tumman kirsikkainen, luumuinen, kypsän herukkainen, mausteinen, tamminen, roteva, pitkä	pullo	luonnonkorkki	14,0	5,3					90	vakiovalikoima
006941	Campo Viejo Crianza 2012	Bodegas Campo Viejo, DOCa Rioja	0,75	10,98	14,51		110	punaviinit			Espanja	Rioja	2012	Bodegas Campo Viejo, DOCa Rioja		Tempranillo, Garnacha, Mazuelo	Keskitäyteläinen , keskitanniininen, kypsän karpaloinen, karhunvatukkainen, mausteinen, kevyen tamminen	pullo	luonnonkorkki	13,5	5,0					90	vakiovalikoima
006576	Campo Viejo Reserva 2010	Bodegas Campo Viejo, DOCa Rioja	0,75	14,49	19,19		110	punaviinit			Espanja	Rioja	2010	Bodegas Campo Viejo, DOCa Rioja		Tempranillo, Garnacha, Mazuelo, Graciano	Keskitäyteläinen , keskitanniininen, hapankirsikkainen, kevyen mausteinen, puinen	pullo	luonnonkorkki	13,5	5,1					90	vakiovalikoima
439687	Castroviejo Tempranillo 2013	Bodegas Pastor Diaz, DOCa Rioja	0,75	9,80	12,93		110	punaviinit	luomu		Espanja	Rioja	2013	Bodegas Pastor Diaz, DOCa Rioja	Pullossa sakkaa	Tempranillo	Täyteläinen , tanniininen, kypsän karpaloinen, tumman kirsikkainen, kevyen lakritsinen, tamminen	pullo	luonnonkorkki	13,5	5,6					90	vakiovalikoima
495337	Costalarbol 2014	Union Familiar de Agricultores Las Cepas, DOCa Rioja	0,75	12,99	17,19		110	punaviinit	luomu		Espanja	Rioja	2014	Union Familiar de Agricultores Las Cepas, DOCa Rioja		Graciano, Garnacha, Tempranillo	Täyteläinen , tanniininen, kirsikkainen, kypsän karpaloinen, boysenmarjainen, mausteinen, kevyen tamminen	pullo	luonnonkorkki	14,0	5,7					90	vakiovalikoima
454907	Coto de Imaz Gran Reserva 2008	El Coto de Rioja, DOCa Rioja	0,75	23,90	31,73		110	punaviinit			Espanja	Rioja	2008	El Coto de Rioja, DOCa Rioja		Tempranillo	Täyteläinen , tanniininen, karpaloinen, viikunainen, yrttinen, mausteinen, tamminen	pullo	luonnonkorkki	13,5	5,8					90	vakiovalikoima
